nom	freq	verbe	v_dico	v_corpus	v_trans	v_tel	v_rol_suj	v_rol_obj	v_rol_obq	v_nb_arg	n_onto	n_rel	n_asp	n_rol_cplt1	n_rol_cplt2	n_rol_cplt3	n_nb_arg	n_polys	v_polys	si_polys_v_base_unq	act_res	herit_asp	v_rol_inc	n_rol_inc	herit_Sa
lattage	9	latter	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
évitage	4	éviter	oui	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
chapitrage1	272	chapitrer1	non	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
chapitrage2	na	chapitrer1	non	oui	trans	1	ag	pa	na	2	cog	res	na	tt	na	na	1	oui	non	oui	oui	na	noninc	noninc	non
psychottage1	65	psychot(t)er1	oui	oui	intrans	0	exp	na	na	1	act	na	act	exp	na	na	1	oui	non	oui	oui	oui	incl	incl	oui
psychottage2	na	psychot(t)er1	oui	oui	intrans	0	exp	na	na	1	ppt	res	etat	exp	na	na	1	oui	non	oui	oui	na	incl	incl	oui
entubage	24	entuber	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
tartinage1	23	tartiner1	oui	oui	trans	0	ag	th	loc	3	act	na	act	th	loc	ag	3	oui	oui	non	non	oui	incl	incl	oui
tartinage2	na	tartiner2	oui	oui	intrans	0	ag	na	loc	2	act	na	act	ag	na	loc	2	oui	oui	non	non	oui	incl	incl	oui
bottage	21	botter	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
grimpage	23	grimper	oui	oui	trans	1	ag	loc	na	2	act	na	acc	loc	ag	na	2	non	non	non	non	oui	incl	incl	oui
déséquilibrage1	22	déséquilibrer1	oui	oui	trans	2	ag	pa	na	2	act	na	ach_grad	pa	ag	na	1	oui	non	oui	oui	oui	incl	incl	oui
déséquilibrage2	na	déséquilibrer1	oui	oui	trans	0	ag	pa	na	2	ppt	res	etat	sg	na	na	1	oui	non	oui	oui	na	noninc	noninc	non
faisage1	21	faire1	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
faisage2	na	faire2	oui	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
googlage	12	googler	non	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
douchage1	18	doucher	oui	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
douchage2	na	se doucher	oui	oui	intrans	1	ag	na	na	1	act	na	acc	ag	na	na	1	oui	oui	non	non	oui	incl	incl	oui
