verbe	v_dico	v_corpus	v_trans	v_tel	v_asp	v_rol_suj	v_rol_obj	v_rol_obq	v_nb_arg	act_res
latter	oui	oui	trans	tel	acc	ag	pa	na	2	non
éviter	oui	oui	trans	tel	ach	ag	th	na	2	non
chapitrer1	non	oui	trans	tel	acc	ag	pa	na	2	oui
psychot(t)er1	oui	oui	intrans	n_tel	act	exp	na	na	1	oui
entuber	oui	oui	trans	tel	ach	ag	pa	na	2	non
tartiner1	oui	oui	trans	n_tel	act	ag	th	loc	3	non
tartiner2	oui	oui	intrans	n_tel	act	ag	na	loc	2	non
botter	oui	oui	trans	tel	ach	ag	pa	na	2	non
grimper	oui	oui	trans	tel	acc	ag	loc	na	2	non
déséquilibrer1	oui	oui	trans	tel	ach_grad	ag	pa	na	2	oui
faire1	oui	oui	trans	tel	acc	ag	pa	na	2	non
faire2	oui	oui	trans	n_tel	act	ag	pa	na	2	non
googler	non	oui	trans	tel	ach	ag	th	na	2	non
doucher	oui	oui	trans	n_tel	act	ag	pa	na	2	non
se doucher	oui	oui	intrans	tel	acc	ag	na	na	1	non
fouiller	oui	oui	trans	n_tel	act	ag	loc	na	2	non
regrouper	oui	oui	trans	tel	acc	ag	pa	na	2	non
comater1	oui	oui	intrans	n_tel	act	ag	na	na	1	oui
disjoncter1	oui	oui	intrans	tel	ach	th	na	na	1	non
disjoncter2	oui	oui	intrans	n_tel	act	exp	na	na	1	non
vendre	oui	oui	trans	n_tel	act	ag	th	benf	3	non
teindre1	oui	oui	trans	tel	acc	ag	pa	na	2	oui
flairer	oui	oui	trans	n_tel	act	ag	th	na	2	non
rebloquer	oui	oui	trans	n_tel	act	ag	pa	na	2	non
voguer	oui	oui	intrans	n_tel	act	ag	na	na	1	non
retracer1	oui	oui	trans	tel	acc	ag	pa	na	2	non
retracer2	oui	oui	trans	tel	acc	ag	th	na	2	non
arrêter	oui	oui	trans	tel	ach	ag	th	na	2	non
placer	oui	oui	trans	tel	ach	ag	th	loc	3	non
pistonner	oui	oui	trans	tel	ach	ag	pa	na	2	non
dégarer	non	oui	trans	tel	acc	ag	th	na	2	non
gueuler	oui	oui	trans	n_tel	act	ag	th	na	2	non
spoiler1	oui	oui	trans	tel	ach	ag	pa	na	2	non
sniffer1	oui	oui	trans	tel	acc	ag	pa	na	2	non
sniffer2	non	oui	trans	n_tel	act	ag	th	na	2	non
tripler	oui	oui	trans	tel	acc	ag	pa	na	2	non
emmouler	non	oui	trans	tel	ach	ag	pa	na	2	non
recaser	oui	oui	trans	tel	acc	ag	th	na	2	non
baisser	oui	oui	trans	tel	ach	ag	th	na	2	non
chahuter1	oui	oui	trans	n_tel	act	ag	pa	na	2	non
chahuter2	oui	oui	intrans	n_tel	act	ag	na	na	1	non
amasser	oui	oui	trans	n_tel	act	ag	th	na	2	non
semer	oui	oui	trans	tel	acc	ag	th	na	2	non
délacer1	oui	oui	trans	tel	acc	ag	pa	na	2	oui
goûter	oui	oui	trans	tel	acc	ag	th	na	2	non
somnoler	oui	oui	intrans	n_tel	act	ag	na	na	1	non
dégouliner1	oui	oui	intrans	n_tel	act	th	loc	na	2	oui
bastonner	oui	oui	trans	n_tel	act	ag	pa	na	2	non
recoiffer	oui	oui	trans	tel	acc	ag	pa	na	2	non
poignarder	oui	oui	trans	tel	ach	ag	pa	na	2	non
tacher	oui	oui	trans	tel	ach	ag	pa	na	2	non
lourder	oui	oui	trans	tel	ach	ag	pa	na	2	non
s'acoquiner	oui	oui	intrans	tel	ach	ag	na	th	2	non
se défouler	oui	oui	intrans	n_tel	act	ag	na	loc	2	non
scalper	oui	oui	trans	tel	ach	ag	pa	na	2	non
réancrer	non	oui	trans	tel	ach	ag	pa	na	2	non
galérer	oui	oui	intrans	n_tel	act	ag	na	na	1	non
quitter	oui	oui	trans	tel	ach	ag	loc	na	2	non
refiler	oui	oui	trans	tel	ach	ag	th	benf	3	non
mâchouiller	oui	oui	trans	n_tel	act	ag	pa	na	2	non
blablater1	oui	oui	intrans	n_tel	act	ag	na	th	2	oui
concocter1	oui	oui	trans	tel	acc	ag	pa	na	2	oui
dragouiller	non	oui	trans	n_tel	act	ag	th	na	2	non
se balader	oui	oui	intrans	n_tel	act	ag	na	na	1	non
balader	oui	oui	trans	n_tel	act	ag	pa	na	2	non
éteindre	oui	oui	trans	tel	ach	ag	pa	na	2	non
appliquer	oui	oui	trans	tel	acc	ag	th	loc	3	non
s'appliquer	oui	oui	intrans	n_tel	act	ag	na	na	1	non
mimer	oui	oui	trans	n_tel	act	ag	th	na	2	non
réveiller	oui	oui	trans	tel	ach	ag	pa	na	2	non
se réveiller	oui	oui	intrans	tel	ach	pa	na	na	1	non
véhiculer	oui	oui	trans	n_tel	act	ag	th	na	2	non
rabaisser	oui	oui	trans	tel	ach_grad	ag	pa	na	2	non
remouliner	non	oui	trans	n_tel	act	ag	pa	na	2	non
recracher	oui	oui	trans	tel	ach	ag	th	na	2	non
cacher	oui	oui	trans	n_tel	act	ag	pa	na	2	non
cocooner	oui	oui	intrans	n_tel	act	ag	na	na	1	non
bip(p)er	oui	oui	trans	tel	ach	ag	th	na	2	non
rengainer	oui	oui	trans	tel	ach	ag	th	na	2	non
poupouner	non	oui	trans	n_tel	act	ag	pa	na	2	non
paumer	oui	oui	trans	tel	ach	ag	th	na	2	non
se paumer	oui	oui	intrans	tel	ach	ag	na	na	1	non
ensabler	oui	oui	trans	tel	ach_grad	ag	pa	na	2	non
s'ensabler	oui	oui	intrans	tel	ach_grad	pa	na	na	1	non
trainailler	oui	oui	intrans	n_tel	act	ag	na	na	1	non
compulser	oui	oui	trans	n_tel	act	ag	th	na	2	non
arnaquer	oui	oui	trans	tel	ach	ag	th	na	2	non
valider	oui	oui	trans	tel	ach	ag	pa	na	2	non
entrelarder1	oui	oui	trans	tel	acc	ag	pa	pa	3	oui
chicaner	oui	oui	intrans	n_tel	act	ag	na	na	1	non
surpeupler	oui	oui	trans	n_tel	etat	th	loc	na	2	non
supprimer	oui	oui	trans	tel	ach	ag	pa	na	2	non
réappareiller	non	oui	trans	tel	acc	ag	pa	na	2	non
caser	oui	oui	trans	tel	ach	ag	th	na	2	non
péter	oui	oui	trans	tel	acc	ag	pa	na	2	non
alcooliser1	oui	oui	trans	tel	ach_grad	ag	pa	na	2	oui
transbahuter	oui	oui	trans	n_tel	act	ag	th	na	2	non
